Pt,T,Vf,Im,Vu,Sig,Ach,IERange,Over,Temp
0,0.2,1.58214E-001,7.01007E-012,0.00000E+000,1.58100E-001,8.00223E-005,4,..........., 0.01
1,0.4,1.48214E-001,-2.29911E-011,0.00000E+000,1.48100E-001,8.00223E-005,4,..........., 0.01
2,0.6,1.38214E-001,-3.49915E-011,0.00000E+000,1.38100E-001,-3.19978E-004,4,..........., 0.01
3,0.8,1.28214E-001,-4.09918E-011,0.00000E+000,1.28100E-001,8.00223E-005,4,..........., 0.01
4,1,1.18014E-001,-5.09922E-011,0.00000E+000,1.18100E-001,8.00223E-005,4,..........., 0.01
5,1.2,1.08214E-001,-5.49923E-011,0.00000E+000,1.08100E-001,8.00223E-005,4,..........., 0.01
6,1.4,9.84138E-002,-5.49923E-011,0.00000E+000,9.81000E-002,8.00223E-005,4,..........., 0.01
7,1.6,8.82138E-002,-5.69924E-011,0.00000E+000,8.81000E-002,8.00223E-005,4,..........., 0.01
8,1.8,7.80138E-002,-6.09925E-011,0.00000E+000,7.81000E-002,8.00223E-005,4,..........., 0.01
9,2,6.80138E-002,-6.29926E-011,0.00000E+000,6.81000E-002,8.00223E-005,4,..........., 0.01
10,2.2,5.82138E-002,-6.69928E-011,0.00000E+000,5.81000E-002,8.00223E-005,4,..........., 0.01
11,2.4,4.82138E-002,-6.89928E-011,0.00000E+000,4.81000E-002,8.00223E-005,4,..........., 0.01
12,2.6,3.84138E-002,-7.09929E-011,0.00000E+000,3.81000E-002,8.00223E-005,4,..........., 0.01
13,2.8,2.82138E-002,-8.09933E-011,0.00000E+000,2.81000E-002,8.00223E-005,4,..........., 0.01
14,3,1.84138E-002,-7.89932E-011,0.00000E+000,1.81000E-002,8.00223E-005,4,..........., 0.01
15,3.2,8.21379E-003,-8.29934E-011,0.00000E+000,8.10000E-003,8.00223E-005,4,..........., 0.01
16,3.4,-1.78621E-003,-8.69935E-011,0.00000E+000,-1.89999E-003,8.00223E-005,4,..........., 0.01
17,3.6,-1.17862E-002,-9.49938E-011,0.00000E+000,-1.19000E-002,8.00223E-005,4,..........., 0.01
18,3.8,-2.19862E-002,-9.89940E-011,0.00000E+000,-2.19000E-002,-2.19978E-004,4,..........., 0.01
19,4,-3.17862E-002,-1.04994E-010,0.00000E+000,-3.19000E-002,8.00223E-005,4,..........., 0.01
20,4.2,-4.19862E-002,-1.10994E-010,0.00000E+000,-4.19000E-002,8.00223E-005,4,..........., 0.01
21,4.4,-5.17862E-002,-1.26995E-010,0.00000E+000,-5.19000E-002,8.00223E-005,4,..........., 0.01
22,4.6,-6.17862E-002,-1.34995E-010,0.00000E+000,-6.19000E-002,8.00223E-005,4,..........., 0.01
23,4.8,-7.17862E-002,-1.52996E-010,0.00000E+000,-7.19000E-002,8.00223E-005,4,..........., 0.01
24,5,-8.17862E-002,-1.72997E-010,0.00000E+000,-8.19000E-002,-3.19978E-004,4,..........., 0.01
25,5.2,-9.17862E-002,-1.96998E-010,0.00000E+000,-9.19000E-002,8.00223E-005,4,..........., 0.01
26,5.4,-1.01786E-001,-2.26999E-010,0.00000E+000,-1.01900E-001,8.00223E-005,4,..........., 0.01
27,5.6,-1.11786E-001,-2.71001E-010,0.00000E+000,-1.11900E-001,8.00223E-005,4,..........., 0.01
28,5.8,-1.21786E-001,-3.21003E-010,0.00000E+000,-1.21900E-001,8.00223E-005,4,..........., 0.01
29,6,-1.31786E-001,-3.83005E-010,0.00000E+000,-1.31900E-001,8.00223E-005,4,..........., 0.01
30,6.2,-1.41786E-001,-4.71008E-010,0.00000E+000,-1.41900E-001,8.00223E-005,4,..........., 0.01
31,6.4,-1.51786E-001,-5.79012E-010,0.00000E+000,-1.51900E-001,8.00223E-005,4,..........., 0.01
32,6.6,-1.61986E-001,-7.13018E-010,0.00000E+000,-1.61900E-001,8.00223E-005,4,..........., 0.01
33,6.8,-1.71586E-001,-8.83024E-010,0.00000E+000,-1.71900E-001,-3.19978E-004,4,..........., 0.01
34,7,-1.81786E-001,-1.09703E-009,0.00000E+000,-1.81900E-001,8.00223E-005,4,..........., 0.01
