Pt,T,Vf,Im,Vu,Sig,Ach,IERange,Over,Temp
777,155.6,7.89814E-001,2.87021E-010,0.00000E+000,7.90000E-001,8.00223E-005,4,..........., 0.01
778,155.8,7.80014E-001,1.85017E-010,0.00000E+000,7.80000E-001,8.00223E-005,4,..........., 0.01
779,156,7.69814E-001,1.23015E-010,0.00000E+000,7.70000E-001,8.00223E-005,4,..........., 0.01
780,156.2,7.60014E-001,7.30126E-011,0.00000E+000,7.60000E-001,8.00223E-005,4,..........., 0.01
781,156.4,7.50014E-001,4.10114E-011,0.00000E+000,7.50000E-001,8.00223E-005,4,..........., 0.01
782,156.6,7.40014E-001,1.70105E-011,0.00000E+000,7.40000E-001,8.00223E-005,4,..........., 0.01
783,156.8,7.30414E-001,1.00984E-012,0.00000E+000,7.30000E-001,8.00223E-005,4,..........., 0.01
784,157,7.19814E-001,-1.69909E-011,0.00000E+000,7.20000E-001,8.00223E-005,4,..........., 0.01
785,157.2,7.10014E-001,-2.69912E-011,0.00000E+000,7.10000E-001,8.00223E-005,4,..........., 0.01
786,157.4,6.99814E-001,-3.89917E-011,0.00000E+000,7.00000E-001,8.00223E-005,4,..........., 0.01
787,157.6,6.90014E-001,-4.09918E-011,0.00000E+000,6.90000E-001,8.00223E-005,4,..........., 0.01
788,157.8,6.80214E-001,-4.89921E-011,0.00000E+000,6.80000E-001,8.00223E-005,4,..........., 0.01
789,158,6.70014E-001,-5.09922E-011,0.00000E+000,6.70000E-001,8.00223E-005,4,..........., 0.01
790,158.2,6.60014E-001,-5.09922E-011,0.00000E+000,6.60000E-001,8.00223E-005,4,..........., 0.01
791,158.4,6.49814E-001,-5.49923E-011,0.00000E+000,6.50000E-001,8.00223E-005,4,..........., 0.01
792,158.6,6.40014E-001,-5.69924E-011,0.00000E+000,6.40000E-001,8.00223E-005,4,..........., 0.01
793,158.8,6.30014E-001,-5.49923E-011,0.00000E+000,6.30000E-001,8.00223E-005,4,..........., 0.01
