Pt,T,Vf,Im,Vu,Sig,Ach,IERange,Over,Temp
217,43.6,7.89814E-001,3.03021E-010,0.00000E+000,7.90000E-001,8.00223E-005,4,..........., 0.01
218,43.8,7.80214E-001,1.99017E-010,0.00000E+000,7.80000E-001,8.00223E-005,4,..........., 0.01
219,44,7.69814E-001,1.33015E-010,0.00000E+000,7.70000E-001,8.00223E-005,4,..........., 0.01
220,44.2,7.60014E-001,8.70131E-011,0.00000E+000,7.60000E-001,8.00223E-005,4,..........., 0.01
221,44.4,7.49814E-001,4.90117E-011,0.00000E+000,7.50000E-001,8.00223E-005,4,..........., 0.01
222,44.6,7.40014E-001,2.70108E-011,0.00000E+000,7.40000E-001,-2.19978E-004,4,..........., 0.01
223,44.8,7.30314E-001,5.00999E-012,0.00000E+000,7.30000E-001,8.00223E-005,4,..........., 0.01
224,45,7.19814E-001,-8.99055E-012,0.00000E+000,7.20000E-001,8.00223E-005,4,..........., 0.01
225,45.2,7.10014E-001,-2.29911E-011,0.00000E+000,7.10000E-001,8.00223E-005,4,..........., 0.01
226,45.4,7.00014E-001,-3.49915E-011,0.00000E+000,7.00000E-001,8.00223E-005,4,..........., 0.01
227,45.6,6.90014E-001,-4.09918E-011,0.00000E+000,6.90000E-001,8.00223E-005,4,..........., 0.01
228,45.8,6.80214E-001,-4.69920E-011,0.00000E+000,6.80000E-001,8.00223E-005,4,..........., 0.01
229,46,6.70014E-001,-5.09922E-011,0.00000E+000,6.70000E-001,8.00223E-005,4,..........., 0.01
230,46.2,6.60014E-001,-5.49923E-011,0.00000E+000,6.60000E-001,8.00223E-005,4,..........., 0.01
231,46.4,6.49814E-001,-5.49923E-011,0.00000E+000,6.50000E-001,8.00223E-005,4,..........., 0.01
232,46.6,6.40014E-001,-5.29922E-011,0.00000E+000,6.40000E-001,8.00223E-005,4,..........., 0.01
233,46.8,6.30014E-001,-5.69924E-011,0.00000E+000,6.30000E-001,8.00223E-005,4,..........., 0.01
234,47,6.20014E-001,-5.69924E-011,0.00000E+000,6.20000E-001,8.00223E-005,4,..........., 0.01
235,47.2,6.09914E-001,-5.69924E-011,0.00000E+000,6.10000E-001,8.00223E-005,4,..........., 0.01
236,47.4,6.00014E-001,-6.09925E-011,0.00000E+000,6.00000E-001,-3.19978E-004,4,..........., 0.01
237,47.6,5.90014E-001,-6.09925E-011,0.00000E+000,5.90000E-001,8.00223E-005,4,..........., 0.01
238,47.8,5.80014E-001,-6.29926E-011,0.00000E+000,5.80000E-001,8.00223E-005,4,..........., 0.01
239,48,5.70214E-001,-6.29926E-011,0.00000E+000,5.70000E-001,8.00223E-005,4,..........., 0.01
240,48.2,5.60014E-001,-6.69928E-011,0.00000E+000,5.60000E-001,8.00223E-005,4,..........., 0.01
241,48.4,5.50014E-001,-6.69928E-011,0.00000E+000,5.50000E-001,8.00223E-005,4,..........., 0.01
242,48.6,5.40214E-001,-7.09929E-011,0.00000E+000,5.40000E-001,8.00223E-005,4,..........., 0.01
243,48.8,5.30214E-001,-6.29926E-011,0.00000E+000,5.30000E-001,8.00223E-005,4,..........., 0.01
244,49,5.20014E-001,-7.09929E-011,0.00000E+000,5.20000E-001,8.00223E-005,4,..........., 0.01
245,49.2,5.10014E-001,-6.69928E-011,0.00000E+000,5.10000E-001,-2.19978E-004,4,..........., 0.01
246,49.4,5.00014E-001,-7.09929E-011,0.00000E+000,5.00000E-001,8.00223E-005,4,..........., 0.01
247,49.6,4.90214E-001,-7.09929E-011,0.00000E+000,4.90000E-001,8.00223E-005,4,..........., 0.01
248,49.8,4.80014E-001,-7.29930E-011,0.00000E+000,4.80000E-001,8.00223E-005,4,..........., 0.01
249,50,4.70014E-001,-7.49931E-011,0.00000E+000,4.70000E-001,8.00223E-005,4,..........., 0.01
250,50.2,4.60014E-001,-7.29930E-011,0.00000E+000,4.60000E-001,8.00223E-005,4,..........., 0.01
251,50.4,4.49814E-001,-7.69932E-011,0.00000E+000,4.50000E-001,8.00223E-005,4,..........., 0.01
252,50.6,4.40014E-001,-8.29934E-011,0.00000E+000,4.40000E-001,8.00223E-005,4,..........., 0.01
253,50.8,4.30014E-001,-8.29934E-011,0.00000E+000,4.30000E-001,8.00223E-005,4,..........., 0.01
254,51,4.20214E-001,-8.69935E-011,0.00000E+000,4.20000E-001,8.00223E-005,4,..........., 0.01
255,51.2,4.10014E-001,-8.29934E-011,0.00000E+000,4.10000E-001,8.00223E-005,4,..........., 0.01
256,51.4,4.00214E-001,-8.89936E-011,0.00000E+000,4.00000E-001,8.00223E-005,4,..........., 0.01
257,51.6,3.90014E-001,-9.29938E-011,0.00000E+000,3.90000E-001,8.00223E-005,4,..........., 0.01
258,51.8,3.80014E-001,-9.49938E-011,0.00000E+000,3.80000E-001,8.00223E-005,4,..........., 0.01
259,52,3.70014E-001,-9.49938E-011,0.00000E+000,3.70000E-001,8.00223E-005,4,..........., 0.01
260,52.2,3.60014E-001,-9.89940E-011,0.00000E+000,3.60000E-001,8.00223E-005,4,..........., 0.01
261,52.4,3.50014E-001,-1.02994E-010,0.00000E+000,3.50000E-001,8.00223E-005,4,..........., 0.01
262,52.6,3.40014E-001,-1.02994E-010,0.00000E+000,3.40000E-001,8.00223E-005,4,..........., 0.01
263,52.8,3.30014E-001,-1.02994E-010,0.00000E+000,3.30000E-001,8.00223E-005,4,..........., 0.01
264,53,3.20014E-001,-1.04994E-010,0.00000E+000,3.20000E-001,8.00223E-005,4,..........., 0.01
265,53.2,3.10014E-001,-1.04994E-010,0.00000E+000,3.10000E-001,8.00223E-005,4,..........., 0.01
266,53.4,3.00214E-001,-1.10994E-010,0.00000E+000,3.00000E-001,8.00223E-005,4,..........., 0.01
267,53.6,2.90214E-001,-1.10994E-010,0.00000E+000,2.90000E-001,8.00223E-005,4,..........., 0.01
268,53.8,2.80014E-001,-1.12995E-010,0.00000E+000,2.80000E-001,8.00223E-005,4,..........., 0.01
269,54,2.70014E-001,-1.16995E-010,0.00000E+000,2.70000E-001,8.00223E-005,4,..........., 0.01
270,54.2,2.60014E-001,-1.18995E-010,0.00000E+000,2.60000E-001,8.00223E-005,4,..........., 0.01
271,54.4,2.50214E-001,-1.20995E-010,0.00000E+000,2.50000E-001,8.00223E-005,4,..........., 0.01
272,54.6,2.40014E-001,-1.24995E-010,0.00000E+000,2.40000E-001,1.80022E-004,4,..........., 0.01
273,54.8,2.30014E-001,-1.24995E-010,0.00000E+000,2.30000E-001,8.00223E-005,4,..........., 0.01
274,55,2.20014E-001,-1.30995E-010,0.00000E+000,2.20000E-001,8.00223E-005,4,..........., 0.01
275,55.2,2.10014E-001,-1.34995E-010,0.00000E+000,2.10000E-001,8.00223E-005,4,..........., 0.01
276,55.4,2.00014E-001,-1.36995E-010,0.00000E+000,2.00000E-001,8.00223E-005,4,..........., 0.01
277,55.6,1.90214E-001,-1.40996E-010,0.00000E+000,1.90000E-001,8.00223E-005,4,..........., 0.01
278,55.8,1.80014E-001,-1.42996E-010,0.00000E+000,1.80000E-001,8.00223E-005,4,..........., 0.01
279,56,1.70414E-001,-1.46996E-010,0.00000E+000,1.70000E-001,8.00223E-005,4,..........., 0.01
280,56.2,1.60014E-001,-1.46996E-010,0.00000E+000,1.60000E-001,8.00223E-005,4,..........., 0.01
281,56.4,1.50014E-001,-1.50996E-010,0.00000E+000,1.50000E-001,8.00223E-005,4,..........., 0.01
282,56.6,1.40214E-001,-1.50996E-010,0.00000E+000,1.40000E-001,8.00223E-005,4,..........., 0.01
283,56.8,1.30414E-001,-1.58996E-010,0.00000E+000,1.30000E-001,8.00223E-005,4,..........., 0.01
284,57,1.20014E-001,-1.56996E-010,0.00000E+000,1.20000E-001,8.00223E-005,4,..........., 0.01
285,57.2,1.10214E-001,-1.56996E-010,0.00000E+000,1.10000E-001,8.00223E-005,4,..........., 0.01
286,57.4,1.00014E-001,-1.58996E-010,0.00000E+000,1.00000E-001,8.00223E-005,4,..........., 0.01
287,57.6,8.98138E-002,-1.58996E-010,0.00000E+000,9.00000E-002,8.00223E-005,4,..........., 0.01
288,57.8,8.00138E-002,-1.56996E-010,0.00000E+000,8.00000E-002,-3.19978E-004,4,..........., 0.01
289,58,7.04138E-002,-1.58996E-010,0.00000E+000,7.00000E-002,8.00223E-005,4,..........., 0.01
290,58.2,6.00138E-002,-1.58996E-010,0.00000E+000,6.00000E-002,8.00223E-005,4,..........., 0.01
291,58.4,5.00138E-002,-1.62996E-010,0.00000E+000,5.00000E-002,8.00223E-005,4,..........., 0.01
292,58.6,4.02138E-002,-1.60996E-010,0.00000E+000,4.00000E-002,8.00223E-005,4,..........., 0.01
293,58.8,3.00138E-002,-1.62996E-010,0.00000E+000,3.00000E-002,8.00223E-005,4,..........., 0.01
294,59,2.00138E-002,-1.62996E-010,0.00000E+000,2.00000E-002,8.00223E-005,4,..........., 0.01
295,59.2,1.02138E-002,-1.68997E-010,0.00000E+000,1.00000E-002,8.00223E-005,4,..........., 0.01
296,59.4,1.37908E-005,-1.70997E-010,0.00000E+000,7.45058E-009,-3.19978E-004,4,..........., 0.01
297,59.6,-1.01862E-002,-1.72997E-010,0.00000E+000,-1.00000E-002,-3.19978E-004,4,..........., 0.01
298,59.8,-1.99862E-002,-1.82997E-010,0.00000E+000,-2.00000E-002,8.00223E-005,4,..........., 0.01
299,60,-3.01862E-002,-1.90998E-010,0.00000E+000,-3.00000E-002,8.00223E-005,4,..........., 0.01
300,60.2,-3.99862E-002,-2.04998E-010,0.00000E+000,-4.00000E-002,8.00223E-005,4,..........., 0.01
301,60.4,-5.01862E-002,-2.20999E-010,0.00000E+000,-5.00000E-002,8.00223E-005,4,..........., 0.01
302,60.6,-5.99862E-002,-2.38999E-010,0.00000E+000,-6.00000E-002,8.00223E-005,4,..........., 0.01
303,60.8,-6.97862E-002,-2.63000E-010,0.00000E+000,-7.00000E-002,8.00223E-005,4,..........., 0.01
304,61,-7.99862E-002,-2.91001E-010,0.00000E+000,-8.00000E-002,8.00223E-005,4,..........., 0.01
305,61.2,-8.97862E-002,-3.35003E-010,0.00000E+000,-9.00000E-002,8.00223E-005,4,..........., 0.01
306,61.4,-9.99862E-002,-3.83005E-010,0.00000E+000,-1.00000E-001,8.00223E-005,4,..........., 0.01
307,61.6,-1.09986E-001,-4.41007E-010,0.00000E+000,-1.10000E-001,8.00223E-005,4,..........., 0.01
308,61.8,-1.19986E-001,-5.21010E-010,0.00000E+000,-1.20000E-001,8.00223E-005,4,..........., 0.01
309,62,-1.29586E-001,-6.19014E-010,0.00000E+000,-1.30000E-001,8.00223E-005,4,..........., 0.01
310,62.2,-1.39786E-001,-7.39019E-010,0.00000E+000,-1.40000E-001,8.00223E-005,4,..........., 0.01
311,62.4,-1.49786E-001,-8.87024E-010,0.00000E+000,-1.50000E-001,8.00223E-005,4,..........., 0.01
312,62.6,-1.59786E-001,-1.06303E-009,0.00000E+000,-1.60000E-001,8.00223E-005,4,..........., 0.01
313,62.8,-1.70086E-001,-1.27104E-009,0.00000E+000,-1.70000E-001,8.00223E-005,4,..........., 0.01
314,63,-1.79986E-001,-1.50505E-009,0.00000E+000,-1.80000E-001,8.00223E-005,4,..........., 0.01
315,63.2,-1.89786E-001,-1.79906E-009,0.00000E+000,-1.90000E-001,8.00223E-005,4,..........., 0.01
316,63.4,-1.99786E-001,-2.11907E-009,0.00000E+000,-2.00000E-001,8.00223E-005,4,..........., 0.01
317,63.6,-2.09786E-001,-2.47309E-009,0.00000E+000,-2.10000E-001,8.00223E-005,4,..........., 0.01
318,63.8,-2.19786E-001,-2.85710E-009,0.00000E+000,-2.20000E-001,8.00223E-005,4,..........., 0.01
319,64,-2.29786E-001,-3.27312E-009,0.00000E+000,-2.30000E-001,8.00223E-005,4,..........., 0.01
320,64.2,-2.39986E-001,-3.69913E-009,0.00000E+000,-2.40000E-001,8.00223E-005,4,..........., 0.01
321,64.4,-2.49786E-001,-4.13515E-009,0.00000E+000,-2.50000E-001,8.00223E-005,4,..........., 0.01
322,64.6,-2.59786E-001,-4.56317E-009,0.00000E+000,-2.60000E-001,8.00223E-005,4,..........., 0.01
323,64.8,-2.69786E-001,-4.98318E-009,0.00000E+000,-2.70000E-001,8.00223E-005,4,..........., 0.01
324,65,-2.80186E-001,-5.38320E-009,0.00000E+000,-2.80000E-001,8.00223E-005,4,..........., 0.01
325,65.2,-2.89786E-001,-5.74521E-009,0.00000E+000,-2.90000E-001,8.00223E-005,4,..........., 0.01
326,65.4,-2.99786E-001,-6.08722E-009,0.00000E+000,-3.00000E-001,8.00223E-005,4,..........., 0.01
327,65.6,-3.09586E-001,-6.39324E-009,0.00000E+000,-3.10000E-001,8.00223E-005,4,..........., 0.01
328,65.8,-3.19786E-001,-6.67525E-009,0.00000E+000,-3.20000E-001,8.00223E-005,4,..........., 0.01
329,66,-3.29786E-001,-6.92126E-009,0.00000E+000,-3.30000E-001,8.00223E-005,4,..........., 0.01
330,66.2,-3.39786E-001,-7.15126E-009,0.00000E+000,-3.40000E-001,8.00223E-005,4,..........., 0.01
331,66.4,-3.49786E-001,-7.35327E-009,0.00000E+000,-3.50000E-001,8.00223E-005,4,..........., 0.01
332,66.6,-3.59786E-001,-7.52128E-009,0.00000E+000,-3.60000E-001,8.00223E-005,4,..........., 0.01
333,66.8,-3.69986E-001,-7.69929E-009,0.00000E+000,-3.70000E-001,8.00223E-005,4,..........., 0.01
334,67,-3.79986E-001,-7.84529E-009,0.00000E+000,-3.80000E-001,8.00223E-005,4,..........., 0.01
335,67.2,-3.89586E-001,-7.99130E-009,0.00000E+000,-3.90000E-001,8.00223E-005,4,..........., 0.01
336,67.4,-3.99786E-001,-8.11930E-009,0.00000E+000,-4.00000E-001,8.00223E-005,4,..........., 0.01
337,67.6,-4.09586E-001,-8.24731E-009,0.00000E+000,-4.10000E-001,8.00223E-005,4,..........., 0.01
338,67.8,-4.19986E-001,-8.36731E-009,0.00000E+000,-4.20000E-001,-2.19978E-004,4,..........., 0.01
339,68,-4.29786E-001,-8.48732E-009,0.00000E+000,-4.30000E-001,8.00223E-005,4,..........., 0.01
340,68.2,-4.39786E-001,-8.61132E-009,0.00000E+000,-4.40000E-001,8.00223E-005,4,..........., 0.01
341,68.4,-4.49786E-001,-8.72732E-009,0.00000E+000,-4.50000E-001,8.00223E-005,4,..........., 0.01
342,68.6,-4.59786E-001,-8.84933E-009,0.00000E+000,-4.60000E-001,8.00223E-005,4,..........., 0.01
343,68.8,-4.69586E-001,-8.97533E-009,0.00000E+000,-4.70000E-001,8.00223E-005,4,..........., 0.01
