Pt,T,Vf,Im,Vu,Sig,Ach,IERange,Over,Temp
497,99.6,7.89914E-001,2.91021E-010,0.00000E+000,7.90000E-001,8.00223E-005,4,..........., 0.01
498,99.8,7.79814E-001,1.93017E-010,0.00000E+000,7.80000E-001,8.00223E-005,4,..........., 0.01
499,100,7.70014E-001,1.25015E-010,0.00000E+000,7.70000E-001,-2.19978E-004,4,..........., 0.01
500,100.2,7.60014E-001,8.10129E-011,0.00000E+000,7.60000E-001,8.00223E-005,4,..........., 0.01
501,100.4,7.50014E-001,4.50115E-011,0.00000E+000,7.50000E-001,8.00223E-005,4,..........., 0.01
502,100.6,7.39914E-001,2.10106E-011,0.00000E+000,7.40000E-001,8.00223E-005,4,..........., 0.01
503,100.8,7.30414E-001,7.01007E-012,0.00000E+000,7.30000E-001,8.00223E-005,4,..........., 0.01
504,101,7.20214E-001,-1.49908E-011,0.00000E+000,7.20000E-001,8.00223E-005,4,..........., 0.01
505,101.2,7.10014E-001,-2.09910E-011,0.00000E+000,7.10000E-001,8.00223E-005,4,..........., 0.01
506,101.4,7.00014E-001,-3.49915E-011,0.00000E+000,7.00000E-001,-3.19978E-004,4,..........., 0.01
507,101.6,6.90014E-001,-3.89917E-011,0.00000E+000,6.90000E-001,-2.19978E-004,4,..........., 0.01
508,101.8,6.80014E-001,-4.69920E-011,0.00000E+000,6.80000E-001,8.00223E-005,4,..........., 0.01
509,102,6.69814E-001,-4.89921E-011,0.00000E+000,6.70000E-001,8.00223E-005,4,..........., 0.01
510,102.2,6.60014E-001,-5.09922E-011,0.00000E+000,6.60000E-001,-2.19978E-004,4,..........., 0.01
511,102.4,6.50014E-001,-5.49923E-011,0.00000E+000,6.50000E-001,8.00223E-005,4,..........., 0.01
512,102.6,6.40014E-001,-5.69924E-011,0.00000E+000,6.40000E-001,8.00223E-005,4,..........., 0.01
513,102.8,6.30014E-001,-5.69924E-011,0.00000E+000,6.30000E-001,8.00223E-005,4,..........., 0.01
514,103,6.20014E-001,-5.49923E-011,0.00000E+000,6.20000E-001,8.00223E-005,4,..........., 0.01
515,103.2,6.09814E-001,-5.69924E-011,0.00000E+000,6.10000E-001,8.00223E-005,4,..........., 0.01
516,103.4,6.00014E-001,-5.89925E-011,0.00000E+000,6.00000E-001,8.00223E-005,4,..........., 0.01
517,103.6,5.90014E-001,-6.29926E-011,0.00000E+000,5.90000E-001,8.00223E-005,4,..........., 0.01
518,103.8,5.80014E-001,-5.69924E-011,0.00000E+000,5.80000E-001,8.00223E-005,4,..........., 0.01
519,104,5.70014E-001,-5.89925E-011,0.00000E+000,5.70000E-001,8.00223E-005,4,..........., 0.01
520,104.2,5.60014E-001,-6.29926E-011,0.00000E+000,5.60000E-001,8.00223E-005,4,..........., 0.01
521,104.4,5.49814E-001,-6.29926E-011,0.00000E+000,5.50000E-001,8.00223E-005,4,..........., 0.01
522,104.6,5.40014E-001,-7.09929E-011,0.00000E+000,5.40000E-001,8.00223E-005,4,..........., 0.01
523,104.8,5.30314E-001,-6.49927E-011,0.00000E+000,5.30000E-001,8.00223E-005,4,..........., 0.01
524,105,5.19814E-001,-6.69928E-011,0.00000E+000,5.20000E-001,-5.19978E-004,4,..........., 0.01
525,105.2,5.10014E-001,-6.69928E-011,0.00000E+000,5.10000E-001,8.00223E-005,4,..........., 0.01
526,105.4,5.00014E-001,-6.69928E-011,0.00000E+000,5.00000E-001,8.00223E-005,4,..........., 0.01
527,105.6,4.90014E-001,-7.09929E-011,0.00000E+000,4.90000E-001,8.00223E-005,4,..........., 0.01
528,105.8,4.80014E-001,-7.29930E-011,0.00000E+000,4.80000E-001,8.00223E-005,4,..........., 0.01
529,106,4.70214E-001,-7.29930E-011,0.00000E+000,4.70000E-001,8.00223E-005,4,..........., 0.01
530,106.2,4.60014E-001,-7.89932E-011,0.00000E+000,4.60000E-001,8.00223E-005,4,..........., 0.01
531,106.4,4.49814E-001,-7.69932E-011,0.00000E+000,4.50000E-001,8.00223E-005,4,..........., 0.01
532,106.6,4.40014E-001,-8.29934E-011,0.00000E+000,4.40000E-001,8.00223E-005,4,..........., 0.01
533,106.8,4.29814E-001,-7.89932E-011,0.00000E+000,4.30000E-001,-3.19978E-004,4,..........., 0.01
534,107,4.20014E-001,-8.29934E-011,0.00000E+000,4.20000E-001,8.00223E-005,4,..........., 0.01
535,107.2,4.09814E-001,-8.29934E-011,0.00000E+000,4.10000E-001,-5.19978E-004,4,..........., 0.01
536,107.4,4.00014E-001,-8.69935E-011,0.00000E+000,4.00000E-001,8.00223E-005,4,..........., 0.01
537,107.6,3.90014E-001,-8.69935E-011,0.00000E+000,3.90000E-001,8.00223E-005,4,..........., 0.01
538,107.8,3.80014E-001,-9.49938E-011,0.00000E+000,3.80000E-001,8.00223E-005,4,..........., 0.01
539,108,3.70214E-001,-9.49938E-011,0.00000E+000,3.70000E-001,8.00223E-005,4,..........., 0.01
540,108.2,3.60014E-001,-9.49938E-011,0.00000E+000,3.60000E-001,8.00223E-005,4,..........., 0.01
541,108.4,3.49814E-001,-9.49938E-011,0.00000E+000,3.50000E-001,8.00223E-005,4,..........., 0.01
542,108.6,3.40014E-001,-9.69939E-011,0.00000E+000,3.40000E-001,8.00223E-005,4,..........., 0.01
543,108.8,3.30014E-001,-1.02994E-010,0.00000E+000,3.30000E-001,8.00223E-005,4,..........., 0.01
544,109,3.20014E-001,-1.02994E-010,0.00000E+000,3.20000E-001,8.00223E-005,4,..........., 0.01
545,109.2,3.10214E-001,-1.02994E-010,0.00000E+000,3.10000E-001,8.00223E-005,4,..........., 0.01
546,109.4,3.00014E-001,-1.10994E-010,0.00000E+000,3.00000E-001,8.00223E-005,4,..........., 0.01
547,109.6,2.90014E-001,-1.10994E-010,0.00000E+000,2.90000E-001,8.00223E-005,4,..........., 0.01
548,109.8,2.80014E-001,-1.10994E-010,0.00000E+000,2.80000E-001,8.00223E-005,4,..........., 0.01
549,110,2.70214E-001,-1.18995E-010,0.00000E+000,2.70000E-001,-4.19978E-004,4,..........., 0.01
550,110.2,2.60014E-001,-1.18995E-010,0.00000E+000,2.60000E-001,-3.19978E-004,4,..........., 0.01
551,110.4,2.50014E-001,-1.20995E-010,0.00000E+000,2.50000E-001,8.00223E-005,4,..........., 0.01
552,110.6,2.40014E-001,-1.24995E-010,0.00000E+000,2.40000E-001,8.00223E-005,4,..........., 0.01
553,110.8,2.30214E-001,-1.28995E-010,0.00000E+000,2.30000E-001,8.00223E-005,4,..........., 0.01
554,111,2.20014E-001,-1.30995E-010,0.00000E+000,2.20000E-001,8.00223E-005,4,..........., 0.01
555,111.2,2.10214E-001,-1.32995E-010,0.00000E+000,2.10000E-001,8.00223E-005,4,..........., 0.01
556,111.4,2.00014E-001,-1.38996E-010,0.00000E+000,2.00000E-001,-2.19978E-004,4,..........., 0.01
557,111.6,1.90214E-001,-1.42996E-010,0.00000E+000,1.90000E-001,8.00223E-005,4,..........., 0.01
558,111.8,1.80214E-001,-1.42996E-010,0.00000E+000,1.80000E-001,8.00223E-005,4,..........., 0.01
559,112,1.69814E-001,-1.44996E-010,0.00000E+000,1.70000E-001,8.00223E-005,4,..........., 0.01
